id,leto,ime,sorta,drzava,velikost,znizana_cena,cena,ocena,ocenjevalec
119660,2014,Agrapart Venus Blanc De Blancs Brut Nature Grand Cru,Chardonnay,France,750,249.99,349.99,,
118135,2018,Terlano Lagrein Rose,Lagrein,Italy,750,19.99,24.99,91,James Suckling - Jamessuckling.com
111652,2018,Nocton Estate Chardonnay,Chardonnay,Australia,750,22.98,28.99,91,Wine Spectator
110882,2016,Tobelos Rioja Garnacha,Grenache / Garnacha,Spain,750,18.99,25.99,,
114433,2018,Shiloh Privilege Red,Blend,Israel,750,19.99,26.99,,
112585,2011,Michel Gonet Grand Cru Blanc De Blancs Le Mesnil Sur Oger,Chardonnay,France,750,46.99,59.99,92,William Kelley - Robert Parker&#39;s Wine Advocate
118156,2019,Mas De Gourgonnier Les Baux De Provence Rose,Blend,France,750,13.98,22.09,,
120074,2017,Finca Decero Malbec,Malbec,Argentina,750,13.95,18.0,,
112841,2015,Dominio Del Aguila Picaro Clarete Rosato Ribera Del Duero,Blend,Spain,750,29.98,40.0,93,Luis Gutierrez - Robert Parker&#39;s Wine Advocate
118733,2017,Schramsberg Brut Rose,Blend,United States,750,31.98,49.99,,
118222,2017,Weinbach Gewurztraminer Furstentum,Gewurztraminer,France,750,51.48,65.0,,
118578,2018,Bernard Moreau Chassagne Montrachet,Pinot Noir,France,750,78.99,109.99,91,William Kelley - Robert Parker&#39;s Wine Advocate
110926,2017,Quinta De Cabriz Touriga Nacional White,Touriga Nacional,Portugal,750,13.99,18.99,,
105875,2012,Dal Forno Valpolicella Superiore,Blend,Italy,750,84.99,149.99,94,James Suckling - Jamessuckling.com
111795,2018,Passion De Provence,Blend,France,750,12.89,15.0,,
116502,2019,Candoni Organic Pinot Grigio,Pinot Gris / Pinot Grigio,Italy,750,9.98,13.99,,
115016,2016,Larkmead Napa Cabernet Sauvignon,Cabernet Sauvignon,United States,750,119.99,155.99,98,Wine Enthusiast
14934,,Lustau Deluxe Cream Sherry,Sherry Varieties,Spain,750,12.99,17.99,,
118521,2019,Domaine Pichot Vouvray,Chenin Blanc,France,750,13.94,19.99,,
114505,2017,Lanzur Reserva Cabernet Sauvignon (U),Cabernet Sauvignon,Chile,750,8.99,10.99,,
117691,2016,Moffett Monk's Vineyard Pinot Noir,Pinot Noir,United States,750,44.98,50.0,91,Wine Enthusiast
118974,2017,Giuseppe Quintarelli Primofiore,Blend,Italy,750,49.99,62.99,,
115987,2017,Vina Robles Cabernet Sauvignon Paso Robles,Cabernet Sauvignon,United States,750,16.99,21.99,93,Wine Enthusiast
117819,2015,Orlando Abrigo Barbaresco Meruzzano,Nebbiolo,Italy,750,29.99,40.0,92,Antonio Galloni - Vinous
116166,2018,Goisot Bourgogne Aligote,Aligote,France,750,18.99,22.99,,
117713,2019,Adega Mae Dory White,Blend,Portugal,750,9.98,12.99,,
115177,2016,Paraduxx Red,Blend,United States,375,24.69,29.99,91,James Suckling - Jamessuckling.com
117003,2017,Owen Roe Sharecroppers Chardonnay,Chardonnay,United States,750,15.99,18.99,,
119659,2016,Cedric Bouchard Roses De Jeanne Ursules Blanc De Noirs,Pinot Noir,France,750,123.99,140.0,,
116466,2018,Adega Mae Dory Red,Blend,Portugal,750,9.98,12.99,,
119152,2018,Crosby Cabernet Sauvignon,Cabernet Sauvignon,United States,750,7.98,11.99,,
120139,2008,Lopez De Heredia Bosconia Rioja Reserva,Blend,Spain,750,34.98,42.0,,
116788,2013,Pietro Rinaldi Barolo Docg,Nebbiolo,Italy,750,29.99,58.0,93,James Suckling - Jamessuckling.com
113407,2017,Bv Coastal Cabernet Sauvignon,Cabernet Sauvignon,United States,750,7.98,12.99,,
114155,2016,Produttori Del Barbaresco Barbaresco,Nebbiolo,Italy,750,34.98,49.99,95,Wine Enthusiast
