id,okus
107231,raspberry
107231,cassis
107231,violet
107231,pepper
107231,green
107231,bean
115217,currant
115217,blackberry
115217,cherry
115217,bell
115217,pepper
115217,olive
115217,asparagus
115217,spice
115217,ginger
115217,oak
115217,vanilla
118237,grass
118237,gooseberry
118237,grapefruit
118237,lime
118237,melon
118237,citrus
118237,mineral
118237,flint
117144,black
117144,currant
117144,blackberry
117144,dust
117144,leather
117144,currant
117144,blueberry
117144,strawberry
119544,apple
119544,pear
119544,peach
119544,apricot
119544,lemon
119544,lime
119544,orange
119544,pineapple
119544,kiwi
119544,butter
119544,cream
119544,vanilla
45271,apple
45271,pear
45271,peach
45271,apricot
45271,lemon
45271,lime
45271,orange
45271,pineapple
45271,kiwi
45271,butter
45271,cream
45271,vanilla
45271,flower
45271,ripe
45271,cherry
45271,plum
45271,strawberry
45271,raspberry
45271,mushroom
119248,blackberry
119248,cherry
119248,smoke
119248,earth
118645,red
118645,fruit
118645,strawberry
118645,raspberry
107530,apple
107530,pear
107530,white
107530,peach
107530,apricot
117916,apple
117916,pear
117916,peach
117916,apricot
117916,lemon
117916,lime
117916,orange
117916,pineapple
117916,kiwi
117916,butter
117916,cream
117916,vanilla
109717,cocoa
109717,honey
109717,vanilla
109717,butterscotch
109717,dark
109717,fruit
109717,spice
109717,earth
109717,perfume
109717,floral
109717,violet
109717,berry
109717,cherry
109717,plum
109717,earth
109717,leather
109717,herb
109717,raisin
109717,high
109717,acid
109717,chocolate
109717,blackberry
109717,ripe
109717,cherry
109717,peppercorn
109717,cinnamon
109717,plum
109717,red
109717,fruit
109717,cassis
109717,cinnamon
119104,apple
119104,pear
119104,peach
119104,apricot
119104,lemon
119104,lime
119104,orange
119104,pineapple
119104,kiwi
119104,butter
119104,cream
119104,vanilla
114813,plum
114813,black
114813,cherry
114813,mocha
114813,acid
114813,tannin
114813,black
114813,currant
114036,apple
114036,pear
114036,peach
114036,apricot
114036,honey
119068,blackberry
119068,violet
119068,oak
119068,smoke
119068,toast
119068,vanilla
116636,red
116636,fruit
116636,strawberry
116636,raspberry
120072,berry
120072,cherry
120072,plum
120072,earth
120072,leather
120072,herb
110597,ripe
110597,cherry
110597,peppercorn
110597,cinnamon
110597,plum
110597,red
110597,fruit
110597,cocoa
110597,honey
110597,vanilla
110597,butterscotch
110597,dark
110597,fruit
110597,spice
110597,earth
110597,perfume
110597,floral
110597,violet
110597,berry
110597,cherry
110597,plum
110597,earth
110597,leather
110597,herb
110597,blackberry
110597,cassis
110597,tannins
117014,smoke
117014,pear
117014,lime
117014,marzipan
117014,blood
117014,orange
117014,apricot
117014,tobacco
117014,tea
117014,cinnamon
117014,chocolate
117014,pineapple
117014,coriander
117014,peach
117014,orange
117014,grapey
116812,black
116812,currant
116812,blackberry
116812,earth
116812,strawberry
116812,cherry
117761,grass
117761,gooseberry
117761,grapefruit
117761,lime
117761,melon
117761,citrus
117761,mineral
117761,flint
112684,lemon
112684,apple
112684,pear
106451,gooseberry
106451,peach
106451,lemon
106451,zest
106451,peach
106451,apricot
106451,white
106451,currant
106451,apple
106451,lemon
106451,blueberry
